From;To;Weight;Type
1;2;3;Friend
1;4;3;Enemy
1;5;2;Family
1;3;3;Renter
1;7;2;Family
1;8;3;Professional
1;6;3;Lovers
1;9;2;Professional
1;10;1;Family
1;11;1;Professional
1;13;1;Hate
1;15;1;Family
1;14;1;Family
1;12;1;Enemy
2;4;3;Target
2;5;2;Messenger
2;3;3;Renter
2;7;3;Married Couple
2;8;1;Professional
2;6;1;Nothing
2;9;2;Professional
2;10;2;Professional
2;11;2;Professional
4;5;2;Nothing
4;8;1;Couple
4;6;2;Helper
4;10;2;Helper
4;13;1;Couple
5;3;1;Hate
5;6;2;Nothing
5;15;1;Family
5;14;1;Family
9;11;2;Professional
14;15;3;Married Couple
